_id,FSA,BEV,PHEV,TotalEV
1,K0A,959,398,1357
2,K0B,102,60,162
3,K0C,208,129,337
4,K0E,160,84,244
5,K0G,262,118,380
6,K0H,238,146,384
7,K0J,100,81,181
8,K0K,492,265,757
9,K0L,295,153,448
10,K0M,211,75,286
11,K0N,1,,1
12,K1A,46,60,106
13,K1B,118,55,173
14,K1C,232,169,401
15,K1E,69,39,108
16,K1G,193,132,325
17,K1H,139,92,231
18,K1J,209,115,324
19,K1K,198,125,323
20,K1L,62,58,120
21,K1M,96,61,157
22,K1N,109,80,189
23,K1P,38,18,56
24,K1R,101,50,151
25,K1S,342,240,582
26,K1T,272,139,411
27,K1V,353,229,582
28,K1W,151,69,220
29,K1X,70,14,84
30,K1Y,251,128,379
31,K1Z,179,89,268
32,K2A,236,115,351
33,K2B,137,97,234
34,K2C,177,99,276
35,K2E,149,75,224
36,K2G,331,173,504
37,K2H,200,109,309
38,K2J,702,317,1019
39,K2K,250,122,372
40,K2L,89,69,158
41,K2M,259,129,388
42,K2P,107,58,165
43,K2R,32,13,45
44,K2S,432,198,630
45,K2T,164,62,226
46,K2V,156,64,220
47,K2W,132,37,169
48,K3M,,1,1
49,K4A,470,221,691
50,K4B,52,28,80
51,K4C,79,22,101
52,K4K,151,73,224
53,K4M,328,114,442
54,K4P,171,59,230
55,K4R,64,35,99
56,K5M,1,,1
57,K5W,2,,2
58,K6A,61,30,91
59,K6G,,1,1
60,K6H,87,64,151
61,K6J,36,23,59
62,K6K,17,7,24
63,K6T,2,1,3
64,K6V,93,68,161
65,K7A,57,32,89
66,K7C,155,57,212
67,K7G,42,19,61
68,K7H,86,63,149
69,K7K,159,74,233
70,K7L,191,110,301
71,K7M,235,139,374
72,K7N,33,17,50
73,K7P,161,67,228
74,K7R,50,28,78
75,K7S,72,25,97
76,K7V,39,18,57
77,K8A,51,41,92
78,K8B,1,2,3
79,K8H,60,37,97
80,K8J,1,,1
81,K8K,,1,1
82,K8N,114,74,188
83,K8P,52,38,90
84,K8R,9,5,14
85,K8V,92,64,156
86,K9A,164,87,251
87,K9B,1,,1
88,K9H,101,65,166
89,K9J,168,103,271
90,K9K,82,38,120
91,K9L,42,19,61
92,K9V,79,39,118
93,L0A,131,40,171
94,L0B,112,40,152
95,L0C,73,23,96
96,L0E,111,46,157
97,L0G,464,125,589
98,L0H,10,9,19
99,L0J,111,23,134
100,L0K,243,86,329
101,L0L,401,135,536
102,L0M,216,74,290
103,L0N,26,10,36
104,L0P,154,35,189
105,L0R,701,284,985
106,L0S,523,231,754
107,L0X,1,,1
108,L1A,95,42,137
109,L1B,90,26,116
110,L1C,339,118,457
111,L1E,160,66,226
112,L1G,167,76,243
113,L1H,148,59,207
114,L1J,220,80,300
115,L1K,348,100,448
116,L1L,175,45,220
